File	Well	Sample	Cq
20211112_981524_PostDnase_AW.rdml	D01	TG1082497	21.5184180881782
20211112_981524_PostDnase_AW.rdml	C12	TG1082496	NaN
20211112_981524_PostDnase_AW.rdml	C11	TG1082495	21.8902191589926
20211112_981524_PostDnase_AW.rdml	C10	TG1082494	18.0514302385419
20211112_981524_PostDnase_AW.rdml	E12	TG1082520	24.214291722898
20211112_981524_PostDnase_AW.rdml	F01	TG1082521	19.1742497163237
20211112_981524_PostDnase_AW.rdml	F02	TG1082522	23.5644174964293
20211112_981524_PostDnase_AW.rdml	F03	TG1082523	22.7402580503006
20211112_981524_PostDnase_AW.rdml	F04	TG1082524	NaN
20211112_981524_PostDnase_AW.rdml	F05	TG1082525	NaN
20211112_981524_PostDnase_AW.rdml	F06	TG1082526	NaN
20211112_981524_PostDnase_AW.rdml	F07	TG1082527	27.3847598151612
20211112_981524_PostDnase_AW.rdml	F08	TG1082528	29.6133895299656
20211112_981524_PostDnase_AW.rdml	F09	TG1082529	20.7028921808237
20211112_981524_PostDnase_AW.rdml	A02	TG1082462	32.0650327621905
20211112_981524_PostDnase_AW.rdml	A06	TG1082466	16.0351756332061
20211112_981524_PostDnase_AW.rdml	H07	TG1082551	19.1755530498487
20211112_981524_PostDnase_AW.rdml	H06	TG1082550	NaN
20211112_981524_PostDnase_AW.rdml	H09	TG1082553	NaN
20211112_981524_PostDnase_AW.rdml	H08	TG1082552	NaN
20211112_981524_PostDnase_AW.rdml	H11	TG1082555	15.3692468106905
20211112_981524_PostDnase_AW.rdml	H10	TG1082554	NaN
20211112_981524_PostDnase_AW.rdml	H12	NTC	NaN
20211112_981524_PostDnase_AW.rdml	A11	TG1082471	30.8860507226484
20211112_981524_PostDnase_AW.rdml	A10	TG1082470	30.0341116649557
20211112_981524_PostDnase_AW.rdml	B01	TG1082473	NaN
20211112_981524_PostDnase_AW.rdml	A12	TG1082472	NaN
20211112_981524_PostDnase_AW.rdml	B03	TG1082475	22.6053114673605
20211112_981524_PostDnase_AW.rdml	B02	TG1082474	NaN
20211112_981524_PostDnase_AW.rdml	B05	TG1082477	30.9051314003986
20211112_981524_PostDnase_AW.rdml	B04	TG1082476	NaN
20211112_981524_PostDnase_AW.rdml	B07	TG1082479	23.3016517754612
20211112_981524_PostDnase_AW.rdml	B06	TG1082478	NaN
20211112_981524_PostDnase_AW.rdml	D12	TG1082508	28.3712604458036
20211112_981524_PostDnase_AW.rdml	E01	TG1082509	15.4596473315717
20211112_981524_PostDnase_AW.rdml	D10	TG1082506	29.8361388559967
20211112_981524_PostDnase_AW.rdml	D11	TG1082507	NaN
20211112_981524_PostDnase_AW.rdml	D08	TG1082504	22.2557070610104
20211112_981524_PostDnase_AW.rdml	D09	TG1082505	NaN
20211112_981524_PostDnase_AW.rdml	D06	TG1082502	31.6261308787377
20211112_981524_PostDnase_AW.rdml	D07	TG1082503	24.2199166954186
20211112_981524_PostDnase_AW.rdml	D04	TG1082500	NaN
20211112_981524_PostDnase_AW.rdml	D05	TG1082501	23.1426437344068
20211112_981524_PostDnase_AW.rdml	A01	TG1082461	NaN
20211112_981524_PostDnase_AW.rdml	A05	TG1082465	20.8320186894411
20211112_981524_PostDnase_AW.rdml	A09	TG1082469	18.453817727989
20211112_981524_PostDnase_AW.rdml	G05	TG1082537	24.0379358335923
20211112_981524_PostDnase_AW.rdml	G04	TG1082536	NaN
20211112_981524_PostDnase_AW.rdml	G03	TG1082535	NaN
20211112_981524_PostDnase_AW.rdml	G02	TG1082534	20.1522472915287
20211112_981524_PostDnase_AW.rdml	G01	TG1082533	21.7903566511808
20211112_981524_PostDnase_AW.rdml	F12	TG1082532	21.6528345001462
20211112_981524_PostDnase_AW.rdml	F11	TG1082531	NaN
20211112_981524_PostDnase_AW.rdml	F10	TG1082530	21.7524421172407
20211112_981524_PostDnase_AW.rdml	G07	TG1082539	19.9949748757562
20211112_981524_PostDnase_AW.rdml	G06	TG1082538	24.3444965117824
20211112_980559_PostDnase_AW.rdml	B12	TG1074542	NaN
20211112_980559_PostDnase_AW.rdml	C01	TG1074543	20.7916271944346
20211112_980559_PostDnase_AW.rdml	C02	TG1074544	26.4640705358385
20211112_980559_PostDnase_AW.rdml	C03	TG1074545	21.7689568976464
20211112_980559_PostDnase_AW.rdml	B08	TG1074538	26.0703260192337
20211112_980559_PostDnase_AW.rdml	B09	TG1074539	19.4923009031557
20211112_980559_PostDnase_AW.rdml	B10	TG1074540	NaN
20211112_980559_PostDnase_AW.rdml	B11	TG1074541	26.7035316521734
20211112_980559_PostDnase_AW.rdml	C04	TG1074546	NaN
20211112_980559_PostDnase_AW.rdml	C05	TG1074547	NaN
20211112_980559_PostDnase_AW.rdml	A04	TG1074522	NaN
20211112_980559_PostDnase_AW.rdml	A08	TG1074526	NaN
20211112_980559_PostDnase_AW.rdml	E11	TG1074577	NaN
20211112_980559_PostDnase_AW.rdml	E10	TG1074576	NaN
20211112_980559_PostDnase_AW.rdml	E07	TG1074573	22.5321365251055
20211112_980559_PostDnase_AW.rdml	E06	TG1074572	29.7233212904478
20211112_980559_PostDnase_AW.rdml	E09	TG1074575	19.4839041061776
20211112_980559_PostDnase_AW.rdml	E08	TG1074574	24.7492370368315
20211112_980559_PostDnase_AW.rdml	E03	TG1074569	26.956623432667
20211112_980559_PostDnase_AW.rdml	E02	TG1074568	30.2946052606104
20211112_980559_PostDnase_AW.rdml	E05	TG1074571	31.5157457280875
20211112_980559_PostDnase_AW.rdml	E04	TG1074570	20.49442224681
20211112_980559_PostDnase_AW.rdml	H04	TG1074606	26.2636287518217
20211112_980559_PostDnase_AW.rdml	H05	TG1074607	25.6360117232929
20211112_980559_PostDnase_AW.rdml	G10	TG1074600	NaN
20211112_980559_PostDnase_AW.rdml	G11	TG1074601	NaN
20211112_980559_PostDnase_AW.rdml	G08	TG1074598	23.6307379445358
20211112_980559_PostDnase_AW.rdml	G09	TG1074599	22.226303847957
20211112_980559_PostDnase_AW.rdml	H02	TG1074604	26.6901172488708
20211112_980559_PostDnase_AW.rdml	H03	TG1074605	23.4796809139974
20211112_980559_PostDnase_AW.rdml	G12	TG1074602	NaN
20211112_980559_PostDnase_AW.rdml	H01	TG1074603	24.8536924777533
20211112_980559_PostDnase_AW.rdml	A03	TG1074521	24.3488697115012
20211112_980559_PostDnase_AW.rdml	A07	TG1074525	NaN
20211112_980559_PostDnase_AW.rdml	D03	TG1074557	22.6721183051213
20211112_980559_PostDnase_AW.rdml	D02	TG1074556	NaN
20211112_980559_PostDnase_AW.rdml	C09	TG1074551	NaN
20211112_980559_PostDnase_AW.rdml	C08	TG1074550	18.8266343794047
20211112_980559_PostDnase_AW.rdml	C07	TG1074549	18.5932054139518
20211112_980559_PostDnase_AW.rdml	C06	TG1074548	19.0785108114718
20211112_980559_PostDnase_AW.rdml	D01	TG1074555	21.1277890337539
20211112_980559_PostDnase_AW.rdml	C12	TG1074554	22.6239592637976
20211112_980559_PostDnase_AW.rdml	C11	TG1074553	18.849318167479
20211112_980559_PostDnase_AW.rdml	C10	TG1074552	NaN
20211112_980559_PostDnase_AW.rdml	E12	TG1074578	25.1802647479259
20211112_980559_PostDnase_AW.rdml	F01	TG1074579	22.5769613533247
20211112_980559_PostDnase_AW.rdml	F02	TG1074580	23.8629565965823
20211112_980559_PostDnase_AW.rdml	F03	TG1074581	22.2497417574547
20211112_980559_PostDnase_AW.rdml	F04	TG1074582	26.3508907400318
20211112_980559_PostDnase_AW.rdml	F05	TG1074583	16.7498054485461
20211112_980559_PostDnase_AW.rdml	F06	TG1074584	27.8207186188883
20211112_980559_PostDnase_AW.rdml	F07	TG1074585	20.9024803809738
20211112_980559_PostDnase_AW.rdml	F08	TG1074586	21.2199245126019
20211112_980559_PostDnase_AW.rdml	F09	TG1074587	NaN
20211112_980559_PostDnase_AW.rdml	A02	TG1074520	25.8306076424542
20211112_980559_PostDnase_AW.rdml	A06	TG1074524	22.1311212466942
20211112_980559_PostDnase_AW.rdml	H07	TG1074609	19.6626392083751
20211112_980559_PostDnase_AW.rdml	H06	TG1074608	26.4716469530945
20211112_980559_PostDnase_AW.rdml	H09	TG1074611	17.8617421964195
20211112_980559_PostDnase_AW.rdml	H08	TG1074610	30.0345677090126
20211112_980559_PostDnase_AW.rdml	H11	TG1074613	NaN
20211112_980559_PostDnase_AW.rdml	H10	TG1074612	NaN
20211112_980559_PostDnase_AW.rdml	H12	NTC	NaN
20211112_980559_PostDnase_AW.rdml	A11	TG1074529	NaN
20211112_980559_PostDnase_AW.rdml	A10	TG1074528	23.7227964160487
20211112_980559_PostDnase_AW.rdml	B01	TG1074531	27.771454895822
